都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
422045,,長崎県,諫早市,諫早市美術・歴史館,イサハヤシビジュツ・レキシカン,Isahaya Museum of Art and History,801,長崎県諫早市東小路町2-33,,32.843845,130.050013,月水木金土日,10:00,19:00,"火曜日が祝日の場合は翌平日が休館
12月29日〜1月3日　休館",200,一般：200円　小中学生：100円,諫早ゆかりの絵画をはじめとする美術作品、またデジタル年表やフリックパネル式の歴史絵巻で、諫早の美と歴史が体感できるスポットです。,"This is a place where you can experience the beauty and history of Isahaya through art works, including paintings related to Isahaya, as well as a digital timeline and a flick-panel historical picture scroll.","JR諫早駅から徒歩約20分
島原鉄道本諫早駅から徒歩約5分",駐車スペース30台、身障者用1台,"多目的トイレ有り;車椅子貸出有り

ベビーカー貸出有り、授乳室あり、全館車椅子移動可",諫早市美術・歴史館,(0957)24-6611,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/4cc14261-3eb1-4edc-8b22-7d136fa9b3b4/download/isahaya_museum.jpg,CC BYに準拠。,https://www.city.isahaya.nagasaki.jp/post07/12089.html,フリーWi-Fi
422045,,長崎県,諫早市,諫早ゆうゆうランド　干拓の里,イサハヤユウユウランド　カンタクノサト,Kantakunosato Park,1009,長崎県諫早市小野島町2232,,32.845748,130.091057,火水木金土日,9:30,17:00,"月曜日が祝日の場合は翌平日が休園
12月30日〜1月1日　休園

※入場受付は16時30分まで",300,"高校生以上：300円　小中学生：200円
幼児（3歳以上）100円",諫早湾干拓にまつわる資料を展示した「干拓資料館」をはじめ、“本明川”から“有明海”に生息する生物を展示した「むつごろう水族館」、初心者から本格的な乗馬まで楽しめる「馬事公園」、自転車やボートなどの「遊戯施設」、市指定文化財「庄屋屋敷」などが、面積１２．５ha（約4万坪）の広大な敷地に点在しています。,"Including the ""Reclaimed Museum"" that displays materials related to Isahaya Bay reclamation, the ""Mutsugoro Aquarium"" that displays the creatures that inhabit the ""Honmyo River"" to the ""Ariake Sea"", the ""Horse Park"" that you can enjoy from beginners to full-scale riding, and ""Amusement facilities"" such as boats,bicycles  and the city-designated cultural property ""Shoya Mansion"" are scattered on a vast site with an area of 12.5 ha (about 40,000 tsubo).","JR諫早駅から車で約15分
島原鉄道干拓の里駅から徒歩約15分",駐車スペース400台、大型バス10台,"多目的トイレ有り
ベビーカー貸出有り",諫早ゆうゆうランド　干拓の里,(0957)24-6776,,,CC BYに準拠。,http://www.kantakunosato.co.jp/,
422045,,長崎県,諫早市,結の浜マリンパーク,ユイノハママリンパーク,Yuinohama Marine Park,1157,長崎県諫早市飯盛町池下17-2,,32.75686,129.992897,月火水木金土日,9:00,17:30,海水浴期間は7月中旬〜8月中旬頃,0,"海水浴期間中は駐車場協力金あり

キャンプ場利用料
１区画５１０円+利用者１名につき１００円","穏やかな波とサラサラの砂が美しい、海水浴場です。
雲仙や天草を望む抜群の景色で、シャワーや売店などの設備も充実しています。施設内にはキャンプスペースもあり、波音と満天の星に癒されながらオートキャンプなどが楽しめます。","A beautiful beach with calm waves and smooth sand. 
It has an outstanding view of Unzen and Amakusa, and is fully equipped with showers and shops. There is also a camp space inside the facility, where you can enjoy auto camp while being healed by the sound of the waves and the stars in the sky.","JR諫早駅から車で約30分
JR諫早駅前からバス（戸石行）乗車約35分、結の浜下車",駐車スペース約300台,多目的トイレ有り;スロープ有り,諫早市商工観光課,(0957)22-2647,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/a58a6dbf-6bab-4577-b573-9a940474752e/download/yuinohama_marine-park.jpg,CC BYに準拠。,,
422045,,長崎県,諫早市,有喜ukiビーチ,ウキウキビーチ,Ukiuki Beach,1157,長崎県諫早市松里町1043-23,,32.794263,130.088483,月火水木金土日,9:00,17:30,海水浴期間は7月中旬〜8月中旬頃,0,,"のどかな漁村にあり、晴れた日には島原半島が望めます。
ビーチの周りが防波堤で囲まれており、波が立たず穏やかで、小さな子供連れの御家族に人気のビーチです。","Located in a peaceful fishing village, you can see the Shimabara Peninsula on a sunny day.
The beach is surrounded by breakwaters and is calm with no waves, making it a popular beach for families with young children.",JR諫早駅からバス（有喜港行または早見行）乗車約35分、松里町バス停下車徒歩すぐ,駐車スペース55台,,諫早市林務水産課,(0957)22-1500,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/947dce06-aa70-487c-93eb-b7cd182e2f4b/download/ukiuki_beach.jpg,CC BYに準拠。,https://www.city.isahaya.nagasaki.jp/post36/15638.html,
422045,,長崎県,諫早市,万年の森,マンネンノモリ,Mannen Forest,1152,諫早市富川町932-1,,32.929214,130.03804,月火水木金土日,,,,0,"バンガロー（6人用3棟あり）利用料金
宿泊料：1泊1棟1万円（午後4時〜翌午前10時まで）
休憩料：1時間500円（午前10時〜午後4時）
※別途、シーツ等1組につき500円の洗濯料がかかります。
※バーベキューセット（500円）の貸し出しや、木炭、着火剤等の販売もしています。","「万年の森」は、諫早市の避暑地として親しまれてきた「富川渓谷」一帯の森林です。
吊り橋や展望台などの施設のほか、1棟6人が利用できるバンガロー3棟を整備しています。
","""Mannen Forest"" is a forest around the ""Tomigawa Valley"" that has been popular as a summer resort in Isahaya City.
In addition to facilities such as a suspension bridge and an observatory, we have 3 bungalows that can be used by 6 people.","JR諫早駅から車で約20分
JR諫早駅からバス（富川行）乗車約30分、富川下車500m",駐車スペース複数あり(バンガロー付近15台）,,諫早市林務水産課,(0957)22-1500,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/26fb5323-1c2f-41c9-8b1d-87dca3b6439a/download/mannen-forest.png,,https://www.city.isahaya.nagasaki.jp/post36/15634.html,
422045,,長崎県,諫早市,諫早公園　眼鏡橋,イサハヤコウエン　メガネバシ,Isahaya Park Megane-bashi(Spectacles Bridge),1003,長崎県諫早市高城町770-2,,32.845137,130.04857,月火水木金土日,,,,0,,"諫早公園は、戦国時代に築かれた高城（山城）跡を公園にした市街地の中心にある緑豊かな場所です。
公園内にある「眼鏡橋」は、石橋では日本で最初に国の重要文化財に指定され、桜やツツジ、蛍や紅葉など季節ごとに趣ある景観を楽しめます。","Isahaya Park is a green place in the center of the city where the site of Takashiro (mountain castle) built during the Warring States period was used as a park. 
""Meganebashi"" in the park is the first stone bridge in Japan to be designated as a national important cultural property, and you can enjoy seasonal scenery such as cherry blossoms, azaleas, fireflies and autumn leaves.","JR諫早駅から徒歩約15分
JR諫早駅から島原鉄道（急行島原外港行）乗車約3分、本諫早駅下車徒歩約7分",駐車スペース70台(上山公園駐車場　10：00〜22：00利用可),多目的トイレ有り,諫早市緑化公園課,(0957)22-1500,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/75cea637-366f-448f-ac05-414aa8e1aa46/download/isahaya_park_megane_bashi.jpg,CC BYに準拠。,https://www.city.isahaya.nagasaki.jp/post03/1434.html,
422045,,長崎県,諫早市,山茶花高原ピクニックパーク・ハーブ園,サザンカコウゲンピクニックパーク・ハーブエン,Sazanka Plateau Picnic Park,1008,長崎県諫早市小長井町遠竹2867-7,,32.971146,130.144249,月水木金土日,10:00,17:30,"3〜10月/10:00-17:30
11〜2月/10:00-17:00
火曜日が祝日の場合は翌平日が休園
12月30日〜1月1日　休園",0,"入園料：ハーブ園のみ
一般：3１0円　小学生：1１0円
有料遊具：ピクニックパーク
100円〜840円","清々しい風と光にあふれる高原で、観覧車やスポーツスライダー、パターゴルフなどの遊具施設も充実し、大人から子どもまで一日中遊ぶことができます。
　ハーブ園ではお買い物、お食事、アロマキャンドル作りなどのカルチャースクールも楽しめます。","The plateau is full of fresh breeze and light, and there are plenty of playset facilities such as a Ferris wheel, sports slider, and putting golf, so adults and children can play all day long.
At the herb garden, you can also enjoy a culture school such as shopping, dining, and making aroma candles.","JR諫早駅から車で約45分
JR小長井駅から車で約15分","駐車スペース800台、身障者用4台
駐輪場（バイク用）スペース約8台","多目的トイレ有り;車椅子貸出有り;スロープあり（一部）

ベビーカー貸出有り、授乳室あり",山茶花高原ピクニックパーク・ハーブ園,(0957)34-4333,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/be64b9fa-81c3-4b7b-958d-b64b65901b6f/download/sazanka_plateau_picnic_park.jpg,CC BYに準拠。,https://sazanka-kougen.com/,
422045,,長崎県,諫早市,白木峰高原,シラキミネコウゲン,Sirakimine Plateau,202,長崎県諫早市白木峰町828-1,,32.910363,130.071539,月火水木金土日,,,,0,,"標高1,057mの五家原岳の中腹に広がる白木峰高原は、約10,000㎡の広さに、春には10万本の菜の花、秋には20万本のコスモスが咲き乱れます。","The Shirakimine Plateau, which stretches out on the hillside of Mt. Gokahara at an altitude of 1,057 m, covers an area of ??about 10,000 m2, with 100,000 rape blossoms in spring and 200,000 cosmos in autumn.","JR諫早駅から車で約20分
JR肥前長田駅から車で約10分
JR諫早駅からバス（国立少年自然の家行）乗車約20分、白木峰高原下車
",駐車スペース500台、身障者用2台,多目的トイレ有り、花園まで車椅子移動可,諫早市緑化公園課,(0957)22-1500,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/acfc926d-8915-447f-bd9f-00be7700379d/download/sirakimine_plateau.jpg,CC BYに準拠。,,
422045,,長崎県,諫早市,コスモス花宇宙館,コスモスハナウチュウカン,Cosmos Astronomival Hall,1010,長崎県諫早市白木峰町827-1,,32.907972,130.069661,火水木金土日,10:00,20:00,"曜日によって終了時間が異なり、火曜〜木曜（10:00〜20:00）、金曜〜日曜（10:00〜22:00）
12月29日〜1月3日　休館",0,,標高1057mの五家原岳の中腹にあります。大型天体望遠鏡や学習ホール、絵画等のアート作品展示スペースなどを備えた、地上4階の体験学習施設です。,"It is located on the hillside of Mt. Gokahara at an altitude of 1057m. It is a hands-on learning facility on the 4th floor above the ground, equipped with a large astronomical telescope, a learning hall, and an exhibition space for art works such as paintings.","JR諫早駅から車で約20分
JR肥前長田駅から車で約10分
JR諫早駅からバス（国立少年自然の家行）乗車約20分、白木峰高原下車
",駐車スペース500台、身障者用３台,多目的トイレ有り;車椅子貸出有り;スロープ有り,コスモス花宇宙館,(0957)23-9003,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/a83e7f3e-59f8-4181-bd62-a4584a864516/download/cosmos_astronomival_hall.jpg,CC BYに準拠。,https://w-cosmos.jp/index.html?view=SmartPhone,
422045,,長崎県,諫早市,唐比ハス園,カラコハスエン,Karako Lotus Garden,202,長崎県諫早市森山町唐比東130-1,,32.799068,130.136314,月火水木金土日,,,,0,,"2ｈａのハス池にそれぞれ12〜13種類のハスと睡蓮、黄色の小さな花を咲かせる絶滅危惧種に指定されているアサザが楽しめます。
ハスは早朝に開花するため、午前中がおすすめです。
花言葉は「清らかな心」です。","You can enjoy 12 to 13 kinds of lotus and water lilies in 2ha lotus pond, and asaza, which is designated as an endangered species with small yellow flowers.
he best time to see lotus 
blooming is early in the morning. 
In the language of flowers, 
lotus means “Pure Heart”","JR諫早駅から車で約30分
JR諫早駅からバス（唐比車庫行）乗車約35分、水晶観音前下車で徒歩5分
JR諫早駅から島原鉄道（各停島原外港行）乗車約19分、諫早東高校前駅下車タクシーもしくは車で約12分",駐車スペース複数あり（30台）,,諫早市緑化公園課,(0957)22-1500,,https://data.bodik.jp/dataset/552df723-779c-4ca7-8e61-42ccd09c8d79/resource/e1911941-b1ac-4635-aedb-49b8a95234e9/download/karako_otus_garden.jpg,CC BYに準拠。,,
