都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
355020,1,山口県,阿武町,宇田八幡宮,ウタハチマングウ,,,山口県阿武郡阿武町宇田2233,,34.568186,131.546578,,,,,,,旧は石田八幡宮と呼ばれ、寿永4年（1185）に豊前国宇佐八幡宮より勧請したと伝えられます。今はありませんが、県下最大のクロマツがあったところで知られています。,,,,,,,,,,,
355020,2,山口県,阿武町,御山神社,オヤマジンジャ,,,山口県阿武郡阿武町惣郷395,,34.580093,131.559304,,,,,,,御山神社境内にある経塚は、史跡として県の指定をうけています。経筒をはじめ、平安時代末期の埋納品が、ほぼまとまった形で発見され、歴史的価値のあるものです。奥の院のある神宮山は「山口県百名山」に数えられています,,,,,,,,,,,
355020,3,山口県,阿武町,興昌寺,コウショウジ,,,山口県阿武郡阿武町宇田1514,,34.565201,131.544976,,,,,,,松尾芭蕉が当地行脚の際に詠んだという「うたがふな　潮の花も　浦の春」の句碑があります。境内の入口には、2つの仁王像が立っています。,,,,,,,,,,,
355020,4,山口県,阿武町,三穂神社,ミホジンジャ,,,山口県阿武郡阿武町宇田2383,,,,,,,,,,島根県美保関町の美保神社より勧請しました。昔は小島でしたが、1700年代に沖合に防波堤を造ってから港内が埋まって陸続きになりました。宇田地区の漁師の行事の中心の神社です,,,,,,,,,,,
355020,5,山口県,阿武町,JR惣郷鉄橋,ジェイアールソウゴウテッキョウ,,,山口県阿武郡阿武町 宇田惣郷,,34.587718,131.556062,,,,,,,昭和7年に完成。全長189m、鉄筋コンクリート4柱ラーメンスラブ式の堅牢で美しい鉄道橋で、カメラマニアの格好のシャッターポイントです。,,,,,,,,,,,
355020,6,山口県,阿武町,たたら遺跡,タタライセキ,,,山口県萩市紫福大板257-1,,34.50553,131.53825,,,,,,,白須で藩営のたたら（踏鞴）の遺跡が発見され、製鉄場、事務所、鉄　の冷却場、鍛冶屋、人足小屋などの状況が明らかにされ、今は緑につつまれています。国の史跡に指定されています。,,,,,,,,,,,
355020,7,山口県,阿武町,姫島,ヒメシマ,,,山口県阿武郡阿武町宇田,,34.55844,131.55092,,,,,,,宇田沖にうかぶ小島で、老樹が生い茂り、全島が県の天然記念物に指定されています。青い海に映えて、すばらしい景観をつくりだしています。,,,,,,,,,,,
355020,8,山口県,阿武町,法積寺,ホウシャクジ,,,山口県阿武郡阿武町奈古2830,,34.503019,131.468102,,,,,,,本堂は、正面の御拝口が取り除かれ、男女別の入口が設けられているめずらしいものです。境内の２０余種を数える花蓮の中には天然記念物もあり、県内では蓮寺としても有名です。,,,,,,,,,,,
355020,9,山口県,阿武町,大覚寺,ダイカクジ,,,山口県阿武郡阿武町奈古3155,,34.507604,131.476063,,,,,,,大覚寺には戦国の世、毛利軍門に降った尼子義久の墓があります。また県下最大のビャクシン（白杉）巨樹があります。,,,,,,,,,,,
355020,10,山口県,阿武町,鶴ヶ嶺八幡宮,ツルガミネハチマングウ,,,山口県阿武郡阿武町奈古3341,,,,,,,,,,仲哀天皇、神宮皇后、応神天皇、比売大神を祭神としています。境内には、県の天然記念物、クスノキをはじめとし、樹齢300年余りを経た大杉や大松がそそりたち、森厳な雰囲気を漂わせています。,,,,,,,,,,,
355020,11,山口県,阿武町,清ヶ浜,キヨガハマ,,,山口県阿武郡阿武町奈古3756,,34.530935,131.491919,,,,,,,白砂青松の海岸が続き、水と砂の美しさは県下有数といえます。夏には、山陽や北九州方面 から大勢の海水浴客や、キャンプ客で賑わいます。キュッ、キュッと鳴くような音は発する鳴き砂が残っています。,,,,,,,,,,,
355020,12,山口県,阿武町,奈古港,ナゴコウ,,,山口県阿武郡阿武町奈古2747,,34.500722,131.467243,,,,,,,鹿島が浮かぶ波静かな奈古港。潮の香りただよう素朴なわかめ干しは奈古港の風物詩です。,,,,,,,,,,,
355020,13,山口県,阿武町,遠岳キャンプ場,トオダケキャンプジョウ,,,山口県阿武郡阿武町奈古,,34.51525,131.51646,,,,,,,遠岳山のふもと、清ヶ浜を見下ろす高台にある遠岳キャンプ場は、夏には、山陽や北九州方面 から大勢の海水浴客や、キャンプ客で賑わいます。テントサイトは１２、利用料は一人1日１００円です。炊事棟やシャワー施設も完備しています。,,,,,,,,,,,
355020,14,山口県,阿武町,遠岳山,トオダケヤマ,,,山口県阿武郡阿武町奈古,,34.51525,131.51646,,,,,,,奈古のシンボル。標高416mで奈古で一番高い山。田部の地先から眺望する姿は絶景です。「山口県百名山」に数えられています。,,,,,,,,,,,
355020,15,山口県,阿武町,山口県外海第2栽培漁業センター,ヤマグチケンガイカイダイニサイバイギョギョウセンター,,,山口県阿武郡阿武町奈古,,34.51525,131.51646,,,,,,,つくり育てる漁業の一層の充実を目指して、マダイ、カサゴ、アワビの種苗が生産されています。日祝日を除けば見学は随時可能です。（団体は要予約）,,,,,,,,,,,
355020,16,山口県,阿武町,宇生賀盆地,ウブカボンチ,,,,,,,,,,,,,福賀の山中に広がる宇生賀盆地は広大な田園地帯で、「宇生賀の七不思議」と言われるユニークな伝説と、埋もれ木（神代杉）が有名です。,,,,,,,,,,,
355020,17,山口県,阿武町,本光院,ホンコウイン,,,山口県阿武郡阿武町宇生賀,,34.50755,131.56453,,,,,,,福賀の黒川に位置し、臨済宗高照山と号します。本尊の聖観音像と薬師如来像は、俊乗房重源が悪疫退散を祈って奉納したものと伝えられています。,,,,,,,,,,,
355020,18,山口県,阿武町,熊田のため池,クマダノタメイケ,,,,,,,,,,,,,約24万トンの貯水量のため池で宇生賀盆地に農業用水を供給しています。山口県指定で、氷河期の遺存植物として学術的に価値の高いリンドウ科の植物であるミツガシワが現存しています。,,,,,,,,,,,
355020,19,山口県,阿武町,西台・東台,ニシダイ・ヒガシダイ,,,山口県阿武郡阿武町福田下,,34.52954,131.58923,,,,,,,西台・東台は、町の東南部に位置する玄武岩質の台地です。山頂に広がる50haの大広原は、清涼の地として自然に包まれたアドベンチャーゾーンです。,,,,,,,,,,,
355020,20,山口県,阿武町,太用寺,タイヨウジ,,,山口県阿武郡阿武町福田上1333,,34.518792,131.61272,,,,,,,福田にある曹洞宗寺院で、もとは正法寺といいました。寛政10年（1798）2月28日より3月4日まで木喰五行上人が滞在しました。平成9年に建立された聖大観音像は北浦最大の観音像で高さ8.3mあります。,,,,,,,,,,,
355020,21,山口県,阿武町,イラオ山,イラオサン,,,山口県阿武郡阿武町福田上,,34.52882,131.6123,,,,,,,標高640mあり、昔から福賀に住む人々の安泰を護っている「竜権様」が祭られています。頂上の大きな石のほこらの中におかれています。,,,,,,,,,,,
355020,22,山口県,阿武町,長沢の池,ナガサワノイケ,,,,,,,,,,,,,文武を兼ね備えた中国随一の名将として知られた益田越中守元祥が、慶長7年（1602）、領内に不毛の地があるのを嘆き、水田開発のため、灌漑用水池として築いたものです。,,,,,,,,,,,
355020,23,山口県,阿武町,佐々木小次郎の墓,ササキコジロウノハカ,,,山口県阿武郡阿武町福田下1101,,34.521569,131.604853,,,,,,,阿武町大字福田下、小字を小沢津といい、その山あいを寺ヶ浴と称します。ここは、慶長年間あるいはそれ以前から真言宗・正法寺という古寺がありました。巌流島の決闘（慶長17年(1612年）4月13日）で敗れた佐々木小次郎の妻ユキはキリシタンの信者でした。当時懐妊中のユキは小次郎の遺髪を抱き、折柄厳しいキリスト教の禁令により多くの信者とともに山陰の地に安全な居所を求めました。ユキは、この地の正法寺に身を寄せ剃髪して尼となり、夫・小次郎の冥福を祈り菩提を弔うために墓を建て、その墓のすぐ下のお堂というか庵で一生を終えたといわれています。この庵は正法寺が太用寺に移った跡地に、ユキ尼が小さい庵を建てたとも言われています。 我が子に対する因果応報の絆を断ち切るために、小次郎の名を「古志らう」と変えて墓に記したとの言い伝えです。 小次郎の墓と並んで佐々木姓の墓が多くあり、今も佐々木姓を名のる家が地区内に数軒有り、末裔かとも言われています。 小次郎の墓の上の段には六面石　一基があり、妻ユキが信じていたバテレン墓と思われます。その隣りには粟屋元吉公の墓がありましたが、昭和５３年に太用寺の境内に移されています。,,,,,,,,,,,
