都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
222232,0000000001,静岡県,御前崎市,御前埼灯台,オマエサキトウダイ,Omaesaki Lighthouse,-,御前崎市御前崎1581,-,-,-,月火水木金土日,09:00,16:00,令和3年3月20日から10月31日までは、土日祝日9時から16時30分まで参観可能,参観寄付金　300円,参観寄付金　大人300円　子供（小学生以下）無料,御前崎を代表するランドマーク、白亜の塔型をしたレンガ造りの大型灯台。雨風にも屈せず1874年から海の安全を守り続けています。,"The brick large lighthouse which did a landmark to represent Omaezaki, the tower type of the white wall. I continue keeping the security of the sea from 1874 without succumbing to wind and rain.","菊川駅からバスで65分
静岡駅前からバスで90分
終点から徒歩で10分",無料　みさきの広場駐車場他,多目的トイレ有り,（公社）燈光会　御前埼支所,0548-63-2550,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/toudai.html,
222232,0000000002,静岡県,御前崎市,御前崎ケープパーク,オマエザキケープパーク,Omaezaki Cape Park,-,御前崎市御前崎,御前崎灯台遊歩道,-,-,月火水木金土日,00:00,00:00,,,,「海と大地の調和」をテーマにした御前埼灯台周辺の公園。灯台から海岸沿いに「夕日と風が見えるん台」までの1.5㎞に及ぶ遊歩道では、展望台や広場などがあり四季折々の草花も楽しめます。,"A park around Omaesaki-Lighthouse which featured the theme of ""harmony of the sea and the earth."" I include an observation deck or an open space on the promenade for 1.5km from the lighthouse and can enjoy the seasonal flower.","菊川駅からバスで65分
静岡駅前からバスで90分
終点から徒歩で10分",無料　みさきの広場駐車場他,多目的トイレ有り,御前崎市役所商工観光課,0537-85-1135,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/omaezaki_capepark.html,
222232,0000000003,静岡県,御前崎市,浜岡砂丘,ハマオカサキュウ,Hamaoka Sand Dunes,-,御前崎市池新田9124,-,-,-,月火水木金土日,00:00,00:00,,,,遠州の空っ風が創り出す太平洋側最大級の砂丘。夏には浜遊びを楽しんだり、冬には風が創り出す芸術「風紋」の姿を見ることができます。,"A dune largest in the Pacific side that a strong, dry wind of Enshu creates. I enjoy the beach play in summer and can see the figure of the art ""wind-wrought pattern on the sands"" which wind creates in winter.",菊川駅からバスで35分,無料,多目的トイレ有り,御前崎市役所商工観光課,0537-85-1135,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/sakyu.html,
222232,0000000004,静岡県,御前崎市,桜ヶ池,サクラガイケ,Sakuragaike,-,御前崎市佐倉5162,池宮神社,-,-,月火水木金土日,00:00,00:00,,,,東西北の三方を原生林に囲まれ、深い緑色の水をたたえる神秘的な桜ヶ池は、遠州七不思議のひとつ「龍神伝説」ゆかりの池。,"Mysterious Sakuragaike of deep green water among virgin forests in East-West north Mikata is a one ""dragon King pond related to a legend"" of the Enshu seven wonders.",菊川駅からバスで40分 ,無料,スロープ有,御前崎市役所商工観光課,0537-85-1135,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/sakuragaike.html,
222232,0000000005,静岡県,御前崎市,マリンパーク御前崎,マリンパークオマエザキ,Marine Park Omaezaki,-,御前崎市港6104-9,-,-,-,月火水木金土日,00:00,00:00,,,,爽やかな風の中、海に面したパーク内でのんびり過ごせます。また、立ち並ぶヤシの木や、真っ青な海と空、夏に花開くひまわりなど、撮影にもぴったり。,"In refreshing wind, I can spend time leisurely in the park facing the sea. In addition, a flower is good to the shooting including the opening sunflower in a palm tree standing in a row and the very pale sea and sky, summer.",菊川駅からバスで70分（徒歩あり）,無料,多目的トイレ有り,御前崎市役所商工観光課,0537-85-1135,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/marine_park_omaezaki.html,
222232,0000000006,静岡県,御前崎市,御前崎渚の交番,オマエザキナギサノコウバン,Omaezaki Nagisa-no-koban,-,御前崎市御前崎1565-2,-,-,-,月火木金土日,09:00,18:00,,,,海の地域の防犯パトロール、海辺の環境保全活動を行っています。また、初心者でも気軽に楽しめるマリンスポーツの体験教室も好評です。,"I work on the local security patrol of the sea, seaside environmental conservation. In addition, the experience-based classroom of the marine sports that even a beginner can enjoy casually is popular.","菊川駅からバスで65分
静岡駅前からバスで90分
終点から徒歩で10分",無料,多目的トイレ有り,御前崎市役所商工観光課,0537-85-1135,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/nagisakouban.html,
222232,0000000007,静岡県,御前崎市,あらさわふる里公園,アラサワフルサトコウエン,Arasawa Furusato Park,-,御前崎市下朝比奈158-7,-,-,-,月火水金土日,08:00,17:00,"11月〜2月　8：00〜16：00
年末年始休業",,,ふる里を感じさせる様々な施設を併せ持った多目的公園。そりで遊べる芝スキー場、遠州夢咲牛のバーベキューも楽しめます。,"The multipurpose park which had both various facilities which let you feel a hometown. I can enjoy grass skiing ground, the barbecue of Ensyuyumesakigyu which can be idle by a sled.",-,無料,多目的トイレ有り,あらさわふる里公園,0537-85-8230,,,,http://www.maotv.ne.jp/arasawa/,
222232,0000000008,静岡県,御前崎市,市民プールすいすいパークぷるる,シミンプールスイスイパークプルル,Local Pool Suisui park Pururu,-,御前崎市宮内1581-1,-,-,-,火水木金土日,10:00,21:00,"海の日から8月末は無休
７月8月　9：30〜21：00",600円,3歳から中学生と70歳以上300円,屋内には25ｍプール、子どもプールやトレーニングルーム、露天風呂とサウナを完備。夏季限定、屋外の流れるプールやウォータースライダーなど、家族みんなで楽しめます。,"I am fully equipped with a 25m pool, a child pool and a training room, an outdoor bath and a sauna indoors. I can enjoy it in the for a limited number outdoor drifting pool and whole family including the water slider in the summer.",-,無料,多目的トイレ有り,市民プールすいすいパークぷるる,0537-63-0195,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/pururu.html,
222232,0000000009,静岡県,御前崎市,浜岡原子力館,ハマオカゲンシリョクカン,Hamaoka Nuclear Power Plant,-,御前崎市佐倉5561,-,-,-,月火水木金土日,09:00,17:00,休刊日：第3月曜日（祝日の場合は翌日休、8月は無休、12月29日〜翌1月3日休、GWは営業）,,,原子力や環境資源を紹介する展示や大画面のオムニマックスシアター、展望台からの景色が楽しめます。,"I can enjoy display and big-screen Omni max theater, the scenery from an observation deck to introduce atomic energy and environmental resources to.",,無料,多目的トイレ有り,浜岡原子力館,0537-85-2424,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/pururu.html,
222232,0000000010,静岡県,御前崎市,御前崎なぶら市場,オマエザキナブライチバ,Omaezaki Seafood Nabura Shopping Center,-,御前崎市港6099-7,-,-,-,月水木金土日,09:00,17:00,"土日祝日は8：30回転
休館　年始",,,御前崎港に水揚げされる海産物をはじめ、全国から直送された新鮮で美味しい海の幸がたくさん並んでいます。,"Including marine products helped the Omaezaki Port draw water, a lot of fresh, delicious seafood shipped directly from the whole country lines up.",,無料,多目的トイレ有り,御前崎まちづくり株式会社,0548-63-6789,,,,https://www.city.omaezaki.shizuoka.jp/soshiki/shokokanko/kankospot/nabura.html,
