都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
242128,0000010001,三重県,熊野市,鬼ヶ城センター(熊野市鬼ヶ城センター複合施設),オニガジョウセンター,onigajo center,2401;2613,三重県熊野市木本町1835-7,,33.892618,136.115411,月火水木金土日,09:00,17:00,,,,鬼ヶ城に隣接する熊野市の四季を感じられるお食事と、特産品を取り揃えた、まるごと熊野を体感できる施設です。熊野地鶏コロッケや新姫ソフトなどのテイクアウト品も人気です,"This facility is located next to Onigajo,where you can enjoy dishes that reflect the different seasons of Kumano, buy local specialty goods, and experience all of Kumano. Take out items such as croquettes made from the local chickens of Kumano and soft cream made from shinhima (the famous citrus fruit of Kumano) are very popula.",熊野市駅から車で5分,"バス10台,普通車70台,身体障害者用2台",優先駐車場あり;多目的トイレ有り;車椅子貸出有り;盲導犬・介助犬・聴導犬同伴可;エレベーター有り,鬼ヶ城センター,(0597)89-1502,,,,https://www.onigajyo.mie.jp,
242128,0000010001,三重県,熊野市,道の駅熊野・花の窟（熊野市花の窟活性化施設）,ミチノエキクマノハナノイワヤ,michi no eki rest area kumano hana no iwaya,2499;2613;3710,三重県熊野市有馬町137,,33.878983,136.092227,月火水木金土日,10:00,17:00,,,,花の窟神社前に隣接する観光施設で、熊野市の土産物や食品を販売しており、古代米を使用したうどんやだんごも人気があります。,"This tourism facility stands next to Hana No Iwaya Shrine, and sells souvenirs and local foods of Kumano City. Udon and dumplings made rom ancient rice is also very popular. The documents for Hana No Iwaya hrine's ""Otsunakake S hinji"" are also on display.",熊野市駅から車で5分,"バス3台,普通車25台,身体障害者用1台",優先駐車場あり;多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;段差無し;階段無し;点字ブロック有り,道の駅熊野・花の窟,(0597)88-1011,,,,https://hananoiwaya.com,
242128,0000010001,三重県,熊野市,熊野古道おもてなし館（熊野市誘客・周遊拠点施設）,クマノコドウオモテナシカン,kumano kodo omotenashi-kan,2499;2613,三重県熊野市木本町204,,33.890308,136.103979,火水木金土日,09:30,16:30,月曜日が祝日の場合は営業、年末年始（12/29〜1/2)は休館,,,築130年の古民家を改修した趣のある休憩所です。休憩所、熊野市特産品の販売や、イベントを開催しています。,"This resting place is a remodeling of an old house that dates back 130 ears. It serves as a resting place, a shop for local specialty goods,and a place for events.",熊野市駅から徒歩で５分,普通車2台,多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;階段無し,熊野古道おもてなし館,(0597)70-1231,,,,http://kumano-kankou.com,
242128,0000010001,三重県,熊野市,熊野市駅前特産品館,クマノシエキマエトクサンヒンカン,kumanoshi-ekimae tokusanhin-kan,2613,三重県熊野市井戸町656-３,,33.889707,136.099427,月火水木金土日,09:00,18:00,"4〜10月は9:00〜19:00営業,年末年始（12/29〜1/2)は休館",,,熊野市駅の玄関口にある、見て楽しい、買って楽しいお店です。,"Located at the entrance of the umano City station, the shop is ""fun to see, fun to buy"".",熊野市駅から徒歩で１分,"専用駐車場無,近くに有料市営駐車場有",盲導犬・介助犬・聴導犬同伴可;階段無し,熊野市駅前特産品館,(0597)89-6018,,,,http://kumano-kankou.com,
242128,0000010001,三重県,熊野市,熊野市観光案内所（熊野市駅前観光拠点施設）,クマノシカンコウアンナイジョ,kumanoshi tourist information center,1001,三重県熊野市井戸町654-1,,33.889499,136.099425,月火水木金土日,09:00,18:00,"4〜10月は9:00〜19:00営業,年末年始（12/31〜1/1)は休館",,,熊野市駅前にある総合観光案内所です。手荷物預かり、レンタサイクル、各種パンフレットを取り揃えています。2階では観光関連の展示を行っています。,,熊野市駅から徒歩で１分,"専用駐車場無,近くに有料市営駐車場有",多目的トイレ有り;盲導犬・介助犬・聴導犬同伴可;手すり有り,熊野市観光公社,(0597)89-2229,,,,http://kumano-kankou.com,
242128,0000020001,三重県,熊野市,千枚田オートキャンプ場（熊野市森林活用環境施設）,センマイダオートキャンプジョウ,senmaida auto camp site,1152,三重県熊野市紀和町大栗須701,,33.873185,135.944292,月火水木金土日,09:00,21:00,宿泊利用の場合は、午後2時から翌日の午前11時まで,入場料（１人）高校生以上400円、中学生まで200円、３歳未満無料,"キャンプサイト（AC電源なし）１区画１泊3,500円、２泊目以降2,500円　等",国内最大級の棚田「丸山千枚田」の麓に位置するオートキャンプ場,,熊野市駅から車で30分,利用者用駐車場あり,,千枚田オートキャンプ場,(0597)97-1157,,,,https://senmaida-acs.jimdofree.com,
242128,0000020002,三重県,熊野市,道の駅きのくに,ミチノエキキノクニ,mitinoeki kinokuni,3710,三重県熊野市飛鳥町小又109-21,,33.573565,136.615426,土日,10:00,16:00,土・日以外に祝日も利用可能,,,熊野市が誇る清流「大又川」に親しんで旅の疲れを癒すことができます。,,熊野市駅から車で20分,専用駐車場16台うち身体障害者用1台,多目的トイレ有り,熊野きのくに,(0597)70-4055,,,,https://www.michi-no-eki.jp/stations/view/601,
242128,0000030001,三重県,熊野市,湯元山荘　湯ノ口温泉,ユモトサンソウ　ユノクチオンセン,yumotosansou yunokutionsen,0901;2314,三重県熊野市紀和町湯ノ口10,,33.871281,135.89917,月火水木金土日,09:00,21:00,日帰り入浴の場合9:00〜21:00宿泊利用の場合15:00〜翌日10:00,"日帰り入浴の場合:大人550円,小人280円。宿泊利用の場合:1棟9700円〜",,熊野の山々に囲まれた源泉かけ流しの癒しの秘湯です。,,熊野市駅から車で40分,専用駐車場70台うち身体障害者用1台,多目的トイレ有り,瀞流荘,(0597)97-1180,,,,https://www.ztv.ne.jp/irukaspa/index.html,
242128,0000030002,三重県,熊野市,入鹿温泉　ホテル瀞流荘,イルカオンセン　セイリュウソウ,irukaonsen hotel seiryuusou,0901;2301,三重県熊野市紀和町小川口158,,33.864518,135.888267,月火水木金土日,11:00,21:00,レストラン利用の場合11:00〜14:00、18:00〜20:30日帰り入浴の場合12:00〜21:00宿泊利用の場合15:00〜翌日10:00,"日帰り入浴の場合:大人630円,小人320円。宿泊利用の場合:1泊2食付き12,000円〜",,トロッコと温泉のある宿です。熊野旅の拠点に！,,熊野市駅から車で45分,専用駐車場85台うち身体障害者用2台,多目的トイレ有り;スロープ有り,湯ノ口温泉,(0597)97-1126,,,,https://www.ztv.ne.jp/irukaspa/index.html,
242128,0000030003,三重県,熊野市,千枚田荘（丸山千枚田交流促進センター）,センマイダソウ,senmaida auto camp site,1152,三重県熊野市紀和町丸山255,,33.87458,135.948665,,,,休館中,,,日本棚田百選「丸山千枚田」のなかにある宿泊施設です。,,熊野市駅から車で40分,専用駐車場12台,,千枚田荘,,,,,,
