都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金(基本),料金(詳細),説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考,郵便番号,料金要否,駐車場_有無,利用条件_有無,利用条件_詳細,託児所_有無,託児所_詳細,画像_詳細,最終確認日
131148,1,東京都,中野区,多田神社,タダジンシャ,,0701a,東京都中野区南台3-43-1,,35.682835,139.663406,,,,,,,多田神社は、源頼光や頼信の父であり、文武両道に秀でた多田満仲公を御祭神とした神社です。寛治6年（1092）、源義家が大宮八幡宮（現・杉並区大宮2丁目）に参詣して神鏡を献じ、別当宝仙寺を建立するとともに、雑色村（現・南台）に満仲公の祠を建てたことが始まりと言われています。同社は雑色村の鎮守となり、そのため雑色の地は大宮八幡宮と強いつながりを持つことになりました。天正19年（1591）の検地帳にも「多東郡大宮之内雑色村」と記され、大宮領に含まれていたことがわかります。また、鎌倉街道と伝えられる古道が両神社から雑色地域の間に通じていたともいわれています。,,東京メトロ丸ノ内線「方南町」駅から徒歩10分,,,,03-3381-4376,,,,,歴史・旧跡,164-0014,,,,,,,,2020/11/18
131148,2,東京都,中野区,寳福寺,ホウフクジ,,0702a,東京都中野区南台3-43-2,,35.682945,139.663315,,,,,,,寳福寺は真言宗のお寺で、ご本尊は聖徳太子です。聖徳太子が諸国を巡遊した時、この地を霊地として堂を建立し如意輪観音（にょいりんかんのん）を安置して、国家安穏を祈ったことに始まるといわれています。また、昭和新選江戸三十三観音札所の第17番札所にもなっています。境内にある「筆塚」と書かれた碑の文字は「筆塚」の字は戸村直衛が書いたもので、明治の初めに建てられたと考えられます。戸村氏は明治3（1870）年、雑色村に「戸村塾」を開いた人で、中野区最初の公立校「桃園学校」の教師も勤めました。家塾開業願や小学校設立伺書などによれば、若い頃に幕府の関係者から、数学・書道・洋学を学んだ知識人だったことがうかがえます。明治4年当時、戸村塾の生徒は25名で、教場は寳福寺や村内の民家をあてていました。明治5（1872）年の学制発布後も存続し、私立戸村小学校から桃園小学校雑色分校へと引き継がれました。この筆塚は、師弟の使用した毛筆を納めて供養して学業上達を願ったものと考えられ、中野の初等教育を物語る記念碑です。,,東京メトロ丸ノ内線「方南町」駅から徒歩10分,,,,,,,,,歴史・旧跡,164-0014,,,,,,,,2020/11/18
131148,3,東京都,中野区,第六天堂,ダイロクテンドウ,,0618a,東京都中野区弥生町1-4-6,,35.691143,139.682037,,,,,,,第六天堂では、山手通りに面したドーム状屋根の祠に小さな観音像が祀られています。これは、中野開拓者の鈴木九郎が成願寺を建立した際、土地の恵みと人々の幸福を願って奉安したものです。約600年の間、周辺住民の人々に親しまれてきましたが、山手通りの拡張に伴い平成8（1996）年に現在の場所に移されました。「たから第六天」と書かれたのぼり旗が目につきますが、この第六天堂は成願寺の境外の堂であり、成願寺の山号が「多宝山」であることからそのように呼ばれています。,,東京メトロ丸ノ内線「中野坂上」駅から730m,,,,,,,,,歴史・旧跡,164-0013,,,,,,,,2020/11/18
131148,4,東京都,中野区,正蔵院,ショウゾウイン,,0702a,東京都中野区弥生町4-12-1?,,35.688824,139.672852,,,,,,,川島通りを方南通りに向かって歩くと右側の参道入り口に７つのお地蔵さんが並んだ「川島地蔵尊」が安置されています。台石には享保10（1725）年に、旧川島村内の善男善女が一人も欠けずにこれを建てた、と刻まれています。参道を進むと、正蔵院が見えます。真言宗豊山派の寺で、ご本尊は聖観音菩薩です。寺院の中にはこのほか中野区登録有形文化財となっている庚申塔が２塔あります。,,東京メトロ丸ノ内線「中野新橋」駅から500m,,,,,,,,,歴史・旧跡,164-0013,,,,,,,,2020/11/18
131148,5,東京都,中野区,川住行教の墓所,カワスミユキノリノボショ,,2010a,東京都中野区弥生町4-12-1?,,35.688824,139.672852,,,,,,,川島通り近くの正蔵院の墓地には、川住行教が眠っています。川住行教は文政8（1825）年三河国西尾藩に生まれ、藩主松平乗全および乗秋に仕えて藩の改革に努めました。明治維新後は新政府から三河国の大参事に任命され、その名声は高かったと伝えられています。明治9（1876）年に職を去り、以来中野雑色村で隠居生活を送った後明治17（1884）年に亡くなりました。後世「中野長者の伝説」の調査をした、元陸軍中尉川住?三郎は、この行教の子です。,,東京メトロ丸ノ内線「中野新橋」駅から500m,,,,,,,,,歴史・旧跡,164-0013,,,,,,,,2020/11/18
131148,6,東京都,中野区,神明氷川神社,シンメイヒカワジンジャ,,0701a,東京都中野区弥生町4-27-30,,35.686771,139.670639,,,,,,,神明氷川神社は文明元年（1469）に太田道灌が江戸城鎮護のため武蔵大宮氷川神社より勧請したことに始まるとされています。昭和20年（1945）に、戦災により焼失しましたが、昭和33年（1958）に再建されました。また同社の境内にはお百度参りと深い関わりを持つ「百度石」があります。,,東京メトロ丸ノ内線「中野富士見町」駅から徒歩10分,,,,03-3381-7629,,,,,歴史・旧跡,164-0013,,,,,,,,2020/11/18
131148,7,東京都,中野区,百度石,ヒャクドイシ,,0613a,東京都中野区弥生町4-27-30,,35.686771,139.670639,,,,,,,神明氷川神社の境内にはお百度参りと深い関わりを持つ「百度石」があります。お百度参りとは、もとは百日続けて参詣することを指しました。それがいつしか、拝殿や本堂と境内に建てられた百度石との間を、はだしで人目を忍びながら一日に百往復し、願をかけるというものに変わりました。百度石は、百度参り起点の石としてだけではなく大願成就のお礼として建てられることもあり、同社に建つ百度石は、その形や大きさから、後者ではないかと思われます。,,東京メトロ丸ノ内線「中野富士見町」駅から徒歩10分,,,,03-3381-7629,,,,,歴史・旧跡,164-0013,,,,,,,,2020/11/18
131148,8,東京都,中野区,成願寺,ジョウガンジ,,0702a,東京都中野区本町2-26-6,,35.693546,139.682083,月火水木金土日,6:00,16:30,開始時間・終了時間は開門時間を示す。,,,中国風の山門に目が惹かれる成願寺は、山号を多宝山と称し、曹洞宗のお寺です。600年ほど前、中野長者と呼ばれる鈴木九郎が夭折した娘を弔うお堂を建て、娘の法名をとって正観寺としたのが、今の成願寺のはじまりといわれています。本尊は鎌倉期につくられた釈迦牟尼仏で高さ60㎝の座像、左右に文殊観音像を配しています。江戸時代に現在地に移設され、園通閣（百観音堂）、龍鳳閣（開山堂）などのお堂が建ち並んでいます。また、山手通りを挟んで第六天が祀られています。成願寺では、四季折々の年中行事、坐禅・写仏・仏像彫刻の会などの活動も盛んで、広く門戸を開いています。このほか成願寺には、中野長者にまつわる伝説が伝えられています。伝説によれば、財を成した中野長者は、人知れずその財宝を埋蔵しようと財宝を下僕に背負わせ出かけましたが、その秘密が漏れることを恐れて下僕を殺してしまいました。ところが長者が人を殺した報いによるものか、愛娘の姿は蛇身となり、その不幸に苦しんだ娘は自ら命を絶ってしまいました。長者は自らの行いを悔い、仏道に帰依したとのことです。この伝説は、日本各地にある朝日長者伝説の流れを汲むもので実話ではありません。九郎と娘の遺骨は境内に祀られており、遺骨調査の結果、娘は14歳くらいの病弱な女性だったと判明しています。,,地下鉄丸ノ内線・大江戸線「中野坂上」駅から山手通り南へ350m,,,,,,,,http://www.nakanojouganji.jp,歴史・旧跡,164-0012,,,,,,,,2020/11/18
131148,9,東京都,中野区,鍋島家の墓所,ナベシマケノボショ,,2010a,東京都中野区本町2-26-6,,35.693546,139.682083,,,,,,,成願寺には大名・蓮池鍋島家の墓所があります。中野区在来の寺院の中で大名家の墓所があるのはここだけです。蓮池（佐賀市東部）の鍋島家は、鍋島直澄が寛永16（1639）年、5万2千6百石を与えられ、佐賀鍋島家から分家したのが始まりです。墓域には十基の墓石が立ち並んでいて、また、墓地の右の奥に鍋島地蔵とよばれる地蔵姿の墓碑があります。,,東京メトロ丸ノ内線「中野坂上」駅から500m,,,,,,,,,歴史・旧跡,164-0012,,,,,,,,2020/11/18
131148,10,東京都,中野区,鈴木九郎宝篋印塔,スズキクロウホウキョウイントウ,,2010a,東京都中野区本町2-26-6,,35.693546,139.682083,,,,,,,今から約650年前、中野の地を開拓し中野長者と呼ばれた鈴木九郎の墓で、成願寺の本堂手前左側に安置されています。成願寺は、鈴木九郎が小田原大雄山舂屋宗能禅師の教えをもとに出家し開創したのが成願寺のはじまりといわれています。宝篋印塔とは墓・供養塔などに使われる仏塔の一種で、身分の高い人に対して用いられるといわれており、中野長者ゆかりの寺であることを偲ばせます。,,東京メトロ丸ノ内線「中野坂上」駅から500m,,,,,,,,,歴史・旧跡,164-0012,,,,,,,,2020/11/18
